,date,0.05%_ETH,0.05%_TVL,0.05%_USD,0.05%_txns,0.05%_fees,0.3%_ETH,0.3%_TVL,0.3%_USD,0.3%_txns,0.3%_fees,0.01%_ETH,0.01%_TVL,0.01%_USD,0.01%_txns,0.01%_fees,0.3%_ETHUSDT,0.3%_TVLUSDT,0.3%_USDT,0.3%_txnsUSDT,0.3%_feesUSDT,0.05%_ETHUSDT,0.05%_TVLUSDT,0.05%_USDT,0.05%_txnsUSDT,0.05%_feesUSDT,cumsum_0.05%_TVL_USDC,cumsum_0.3%_TVL_USDC,cumsum_0.01%_TVL_USDC,cumsum_0.05%_TVLUSDT,cumsum_0.3%_TVLUSDT,cumsum_0.05%_fees_USDC,cumsum_0.3%_fees_USDC,cumsum_0.01%_fees_USDC,cumsum_0.05%_fees_USDT,cumsum_0.3%_fees_USDT,0.05%_feesperUSDC,0.3%_feesperUSDC,0.01%_feesperUSDC,0.3%_feesperUSDT,0.05%_feesperUSDT,cumsum_0.05%_feesperUSDC,cumsum_0.3%_feesperUSDC,cumsum_0.01%_feesperUSDC,cumsum_0.05%_feesperUSDT,cumsum_0.3%_feesperUSDT
351,2023-01-19,1551.938940278179,193040212.5355625,341168062.65753746,7518.0,170584.03132876873,1550.601054458856,103973547.7375616,16222723.73352044,435.0,48668.17120056132,1551.3376890189018,8997317.330997387,77599376.69191726,1920.0,7759.937669191725,1550.529415,35779468.00388414,5709922.4460095465,365.0,17129.76733802864,1552.263365522449,24603934.952340454,35594451.830780365,3107.0,17797.22591539018,89534912438.96437,53965738935.88075,316422584.9599052,8818327455.318521,16240836190.458532,102012558.05301344,76153813.23995256,159774.61658370326,11964584.628320474,28700755.67547989,0.0008836709672464912,0.000468082240719573,0.0008624723774560373,0.0004787596991707387,0.000723348763109017,0.6559517679593689,0.7108897915364378,2.710401139969857,0.7880551613650206,0.7109175373015236
352,2023-01-20,1659.7917601643117,132161023.05266786,356549852.6123643,8385.0,178274.92630618214,1657.7597524087644,87001077.19214974,21541797.587893706,463.0,64625.39276368111,1660.0273199551302,7382488.004309255,90462074.73382534,2159.0,9046.207473382534,1656.9791049999997,30393995.49296053,7816694.901249408,358.0,23450.084703748224,1660.5434604427633,17353133.32225525,32430777.298310813,3609.0,16215.388649155406,89667073462.01704,54052740013.0729,323805072.96421444,8835680588.640778,16271230185.951492,102190832.97931963,76218438.63271624,168820.8240570858,11980800.01696963,28724205.760183636,0.0013489221117419566,0.0007428114093455428,0.001225360267175801,0.0007715367566327183,0.0009344357787166485,0.6573006900711109,0.7116326029457833,2.711626500237033,0.7889895971437373,0.7116890740581564
353,2023-01-21,1626.055643900874,217617390.3510006,470955543.5324074,8611.0,235477.7717662037,1627.5170804934003,100804839.25776552,34823504.59744456,659.0,104470.51379233366,1625.8760789384285,7528638.701071333,84780555.96188974,2308.0,8478.055596188975,1626.7945526938026,39773191.40264638,12441391.298003726,474.0,37324.173894011175,1625.4543666367647,30590965.51827427,58331058.08206312,4102.0,29165.52904103156,89884690852.36804,54153544852.330666,331333711.66528577,8866271554.159052,16311003377.35414,102426310.75108583,76322909.14650857,177298.87965327475,12009965.546010662,28761529.934077647,0.001082072399574297,0.0010363640730103715,0.001126107379144458,0.0009384254211877941,0.0009534033511825186,0.6583827624706852,0.7126689670187937,2.7127526076161774,0.7899430004949198,0.7126274994793442
354,2023-01-22,1627.8453356664702,232793479.60429737,376627311.23958045,7221.0,188313.65561979022,1627.6883486811541,133513990.30668534,25385968.45560045,540.0,76157.90536680135,1628.209154050875,10845587.602374319,72411444.72987069,2263.0,7241.144472987069,1627.1186260080242,39875846.14506279,10932303.447151877,502.0,32796.91034145563,1627.1585792896446,28640576.603714805,38501297.58736898,3324.0,19250.64879368449,90117484331.97234,54287058842.63735,342179299.2676601,8894912130.762766,16350879223.499203,102614624.40670562,76399067.05187538,184540.02412626182,12029216.194804346,28794326.844419103,0.0008089301123892559,0.0005704114242399956,0.0006676581056246169,0.0008224755964336162,0.0006721459927307329,0.6591916925830744,0.7132393784430336,2.713420265721802,0.7906151464876505,0.7134499750757779
355,2023-01-23,1626.8197538859456,224519230.54166225,388161131.9019702,7463.0,194080.5659509851,1628.7344261199146,110602432.9709625,36508519.512336306,515.0,109525.55853700892,1626.5115669066904,10846610.176519355,94411618.99046834,2113.0,9441.161899046834,1628.2133157611054,39896218.252893984,13329880.950874874,447.0,39989.64285262462,1626.8161103704829,30839928.41363575,33907561.73954366,3468.0,16953.780869771832,90342003562.51399,54397661275.608315,353025909.4441794,8925752059.176401,16390775441.752096,102808704.97265661,76508592.61041239,193981.18602530865,12046169.975674119,28834316.487271726,0.0008644273610004694,0.0009902635556467705,0.0008704251139664793,0.001002341690611838,0.000549734767291995,0.6600561199440749,0.7142296419986804,2.7142906908357687,0.7911648812549426,0.7144523167663898
356,2023-01-24,1555.4107727319622,275878544.0058829,424037444.6607484,8375.0,212018.7223303742,1551.6696590486026,105660661.65445663,26711293.818247866,478.0,80133.8814547436,1555.730438239401,11206820.359334406,81741914.52330978,2126.0,8174.191452330978,1551.4826662427079,34887354.429015726,9640811.954450715,409.0,28922.435863352144,1556.6732715737182,23942628.920708045,39441223.51589473,3823.0,19720.61175794737,90617882106.51988,54503321937.26277,364232729.8035138,8949694688.097109,16425662796.181112,103020723.69498698,76588726.49186714,202155.37747763962,12065890.587432066,28863238.92313508,0.0007685219707620794,0.0007584079088658978,0.0007293943500684845,0.0008290234767500005,0.000823661086811188,0.6608246419148369,0.7149880499075464,2.715020085185837,0.7919885423417538,0.7152813402431397
357,2023-01-25,1615.45970235643,209548927.3472031,597622998.6491522,9257.0,298811.4993245761,1618.4110848583043,101499585.2466279,58430951.10370446,830.0,175292.85331111337,1615.4750314588562,10989343.501434153,141788922.00675476,2524.0,14178.892200675475,1619.868399698012,40092077.31180368,19883401.11495486,622.0,59650.203344864574,1615.8413882626817,22658301.789554548,68893248.14331432,4061.0,34446.62407165716,90827431033.86708,54604821522.5094,375222073.304948,8972352989.886663,16465754873.492916,103319535.19431156,76764019.34517825,216334.2696783151,12100337.211503724,28922889.126479942,0.001425974845623873,0.00172703024239143,0.0012902401493615223,0.0014878301984941722,0.0015202650397893906,0.6622506167604608,0.7167150801499378,2.716310325335199,0.7935088073815432,0.7167691704416339
358,2023-01-26,1602.0873436086829,427084222.2062106,431313752.87155116,8045.0,215656.87643577557,1603.2954368555634,101766559.44895516,21204062.67350632,472.0,63612.18802051897,1602.2657279821465,10989343.501434153,75657833.19160303,2108.0,7565.783319160304,1602.7699078555643,40453249.01218314,9437109.134861106,327.0,28311.327404583317,1601.9139235689995,24321493.870989736,38844833.42230085,3277.0,19422.41671115043,91254515256.07329,54706588081.95835,386211416.8063821,8996674483.757652,16506208122.505098,103535192.07074733,76827631.53319876,223900.0529974754,12119759.628214873,28951200.453884527,0.000504951635351327,0.0006250794795949258,0.000688465450021918,0.0006998529931689025,0.0007985700555308881,0.6627555683958122,0.7173401596295327,2.7169987907852207,0.794307377437074,0.7174690234348028
359,2023-01-27,1597.6279647150775,326865147.2682667,451592442.58270705,7478.0,225796.22129135352,1594.5826336030227,101517290.45194677,26145103.967260446,499.0,78435.31190178134,1598.5917353823768,10989343.501434153,114077277.16936104,2037.0,11407.727716936104,1594.5500134134304,36348262.82559372,9330000.437236317,377.0,27990.001311708947,1597.3188131117606,35877172.698723495,48863052.23245621,3227.0,24431.526116228102,91581380403.34155,54808105372.4103,397200760.30781627,9032551656.456375,16542556385.330692,103760988.29203868,76906066.84510054,235307.78071441152,12144191.154331101,28979190.455196235,0.000690793200738642,0.0007726300766361442,0.0010380718116097974,0.0007700505921289997,0.0006809769075559672,0.6634463615965508,0.7181127897061689,2.7180368625968305,0.79498835434463,0.7182390740269318
360,2023-01-28,1573.175003835269,289302969.26487267,232913389.40726715,6322.0,116456.69470363358,1569.2378131786354,100424611.93031232,8997381.17240562,333.0,26992.14351721686,1573.8196699515845,11358495.256931849,77085228.93655144,1799.0,7708.522893655143,1569.1234650000001,36406171.794323854,3486321.598802416,247.0,10458.964796407248,1572.9401392862242,28648310.712532733,37460537.03730829,3203.0,18730.268518654146,91870683372.60643,54908529984.340614,408559255.5647481,9061199967.168907,16578962557.125015,103877444.98674232,76933058.98861775,243016.30360806666,12162921.422849756,28989649.419992644,0.0004025423416826777,0.00026878016253572906,0.000678657050893321,0.00028728548707331877,0.0006538001038385919,0.6638489039382335,0.7183815698687046,2.718715519647724,0.7956421544484686,0.7185263595140051
